"acce.roundNo","turtle.ID","sex","cl","time","date","hour","month","year","julian","x","y","z","ODBA","airTemp","waterTemp","rainfall","roll_sum_24h","heavyRain","acce.netWeight"
1,331,"M",192,"2020-10-13 22:45:00",2020-10-13,22,10,"2020",287,-4.57767059330039e-05,0,0.000247192044067035,0.008497546290515,20.9375,21,1.5,41,"yes",41
1,607,"F",141.3,"2020-10-13 22:45:00",2020-10-13,22,10,"2020",287,0,-0.000528692227910965,0.00131660331855643,0.0106132745292901,20.9375,21,1.5,41,"yes",30
1,331,"M",192,"2020-10-13 23:00:00",2020-10-13,23,10,"2020",287,0,-0.000543400635312395,-0.000735294117647069,0.0052965518958166,20.9375,21,0.5,41.5,"yes",41
1,607,"F",141.3,"2020-10-13 23:00:00",2020-10-13,23,10,"2020",287,0,-0.000325157698204584,0.000776599702380948,0.00244796978195412,20.9375,21,0.5,41.5,"yes",30
1,331,"M",192,"2020-10-13 23:15:00",2020-10-13,23,10,"2020",287,0,0,0.00105507285683068,0.00643888175626459,20.9375,21,0.5,41.5,"yes",41
1,607,"F",141.3,"2020-10-13 23:15:00",2020-10-13,23,10,"2020",287,0,0,-0.000213477386328903,0.00319741835855111,20.9375,21,0.5,41.5,"yes",30
1,331,"M",192,"2020-10-13 23:30:00",2020-10-13,23,10,"2020",287,0,0,0.000315250071109413,0.00629961943438509,20.9375,21,0.5,41.5,"yes",41
1,607,"F",141.3,"2020-10-13 23:30:00",2020-10-13,23,10,"2020",287,-0.000831309723772956,0,0.000857843137254905,0.00620577594382742,20.9375,21,0.5,41.5,"yes",30
1,331,"M",192,"2020-10-13 23:45:00",2020-10-13,23,10,"2020",287,0,0,0.00299185948600009,0.00442584216998279,20.9375,21,0.5,41.5,"yes",41
1,331,"M",192,"2020-10-14 00:00:00",2020-10-14,0,10,"2020",288,0,0,0.000732337866126892,0.00405265036612693,20.9375,21,0.5,40,"yes",41
1,607,"F",141.3,"2020-10-14 00:00:00",2020-10-14,0,10,"2020",288,0.00206080811549561,0,-0.00193873780299558,0.0069834868907134,20.9375,21,0.5,40,"yes",30
1,331,"M",192,"2020-10-14 00:15:00",2020-10-14,0,10,"2020",288,0,0,0,0,20.9375,21,0.5,40,"yes",41
1,607,"F",141.3,"2020-10-14 00:15:00",2020-10-14,0,10,"2020",288,0,0.00520971270482989,0,0.00545385332982989,20.9375,21,0.5,40,"yes",30
1,331,"M",192,"2020-10-14 00:30:00",2020-10-14,0,10,"2020",288,-0.000812276373799825,0.00501912367146742,0,0.00752715979766763,20.9375,21,0.5,40,"yes",41
1,607,"F",141.3,"2020-10-14 00:30:00",2020-10-14,0,10,"2020",288,0.00146645346840659,0,0,0.00201661944826007,20.9375,21,0.5,40,"yes",30
1,331,"M",192,"2020-10-14 00:45:00",2020-10-14,0,10,"2020",288,0,0,2.52378914488149e-05,0.00411183597218753,20.9375,21,0.5,40,"yes",41
1,607,"F",141.3,"2020-10-14 00:45:00",2020-10-14,0,10,"2020",288,0,0,0,0,20.9375,21,0.5,40,"yes",30
1,331,"M",192,"2020-10-14 01:00:00",2020-10-14,1,10,"2020",288,0,0,-0.000809696488407424,0.00625054470269315,20.9375,21,0,39,"yes",41
1,607,"F",141.3,"2020-10-14 01:00:00",2020-10-14,1,10,"2020",288,0,0,-0.000864155917866843,0.00216623925120016,20.9375,21,0,39,"yes",30
1,331,"M",192,"2020-10-14 01:15:00",2020-10-14,1,10,"2020",288,0.00236922907821349,0,-0.00271679004589162,0.011961484153867,20.9375,21,0,39,"yes",41
1,607,"F",141.3,"2020-10-14 01:15:00",2020-10-14,1,10,"2020",288,0,0,0,0,20.9375,21,0,39,"yes",30
1,331,"M",192,"2020-10-14 01:30:00",2020-10-14,1,10,"2020",288,0,0,-7.22503408050468e-05,0.0065043273783508,20.9375,21,0,39,"yes",41
1,607,"F",141.3,"2020-10-14 01:30:00",2020-10-14,1,10,"2020",288,0,0.000701479510073252,0,0.00110140510531136,20.9375,21,0,39,"yes",30
1,331,"M",192,"2020-10-14 01:45:00",2020-10-14,1,10,"2020",288,0,0,0,0,20.9375,21,0,39,"yes",41
1,607,"F",141.3,"2020-10-14 01:45:00",2020-10-14,1,10,"2020",288,0,-0.000522348362421879,0,0.00116270065718596,20.9375,21,0,39,"yes",30
1,331,"M",192,"2020-10-14 02:00:00",2020-10-14,2,10,"2020",288,0.000317843506320109,0,-0.00110739954489952,0.0107816364408161,20.9375,21,0,38,"yes",41
1,607,"F",141.3,"2020-10-14 02:00:00",2020-10-14,2,10,"2020",288,0.00091877252521784,0,0.000510188596126088,0.00986108888940919,20.9375,21,0,38,"yes",30
1,331,"M",192,"2020-10-14 02:15:00",2020-10-14,2,10,"2020",288,0.000685409425643796,0.00253441220238095,0,0.00930551111215177,20.9375,21,0,38,"yes",41
1,607,"F",141.3,"2020-10-14 02:15:00",2020-10-14,2,10,"2020",288,0,0,-0.00438731190684316,0.00438731190684316,20.9375,21,0,38,"yes",30
1,331,"M",192,"2020-10-14 02:30:00",2020-10-14,2,10,"2020",288,0,0,-0.000709376344141949,0.00678648066343382,20.6875,21,0,38,"yes",41
1,607,"F",141.3,"2020-10-14 02:30:00",2020-10-14,2,10,"2020",288,0.00127288204034528,0,0,0.0021919996874041,20.6875,21,0,38,"yes",30
1,331,"M",192,"2020-10-14 02:45:00",2020-10-14,2,10,"2020",288,-0.00218272125010407,-0.000203087385704556,-0.0010547449512294,0.0131162240537241,20.6875,21,0,38,"yes",41
1,607,"F",141.3,"2020-10-14 02:45:00",2020-10-14,2,10,"2020",288,0,-0.00148218480738012,-0.000335547698828903,0.00883862502514841,20.6875,21,0,38,"yes",30
1,331,"M",192,"2020-10-14 03:00:00",2020-10-14,3,10,"2020",288,0,0.00175163649284741,2.39777583527223e-05,0.0074148263845529,20.625,21,0.5,38,"yes",41
1,607,"F",141.3,"2020-10-14 03:00:00",2020-10-14,3,10,"2020",288,0,0,0,0,20.625,21,0.5,38,"yes",30
1,331,"M",192,"2020-10-14 03:15:00",2020-10-14,3,10,"2020",288,0.00366955635510319,-0.000538635084533522,-0.000846354166666674,0.00698991492448522,20.625,21,0.5,38,"yes",41
1,607,"F",141.3,"2020-10-14 03:15:00",2020-10-14,3,10,"2020",288,-0.00386611543838103,0.00237346746135811,-0.0018747122018607,0.0163484220857268,20.625,21,0.5,38,"yes",30
1,331,"M",192,"2020-10-14 03:30:00",2020-10-14,3,10,"2020",288,0,-0.00138096766514735,0,0.00648572618787464,20.625,21,0.5,38,"yes",41
1,607,"F",141.3,"2020-10-14 03:30:00",2020-10-14,3,10,"2020",288,0,0,0,0,20.625,21,0.5,38,"yes",30
1,331,"M",192,"2020-10-14 03:45:00",2020-10-14,3,10,"2020",288,0.00732304262577699,-0.00814659244835027,-0.00290923269438895,0.0192025070198898,20.625,21,0.5,38,"yes",41
1,607,"F",141.3,"2020-10-14 03:45:00",2020-10-14,3,10,"2020",288,0.00301313812056,0,0,0.00527580600822788,20.625,21,0.5,38,"yes",30
1,331,"M",192,"2020-10-14 04:00:00",2020-10-14,4,10,"2020",288,-0.000657036106254838,0,0,0.00677921254093128,20.5625,21,0,34,"yes",41
1,607,"F",141.3,"2020-10-14 04:00:00",2020-10-14,4,10,"2020",288,0.00226389550120019,0,0,0.00226389550120019,20.5625,21,0,34,"yes",30
1,331,"M",192,"2020-10-14 04:15:00",2020-10-14,4,10,"2020",288,0,0,0.00105376394438897,0.00233165272227773,20.5625,21,0,34,"yes",41
1,607,"F",141.3,"2020-10-14 04:15:00",2020-10-14,4,10,"2020",288,0.000171139624264616,-0.000180925302995641,0.000911458333333337,0.0120037379070582,20.5625,21,0,34,"yes",30
1,331,"M",192,"2020-10-14 04:30:00",2020-10-14,4,10,"2020",288,0,0.00260023371236606,0,0.0034282353675736,20.5,21,0,34,"yes",41
1,607,"F",141.3,"2020-10-14 04:30:00",2020-10-14,4,10,"2020",288,0,0.00136111989139333,0,0.00450493245903401,20.5,21,0,34,"yes",30
1,331,"M",192,"2020-10-14 04:45:00",2020-10-14,4,10,"2020",288,0,-9.91819595335119e-05,-0.00154783367673994,0.00367454539817821,20.4375,21,0,34,"yes",41
1,607,"F",141.3,"2020-10-14 04:45:00",2020-10-14,4,10,"2020",288,0.00257368499556,0,0,0.00555249871656122,20.4375,21,0,34,"yes",30
1,331,"M",192,"2020-10-14 05:00:00",2020-10-14,5,10,"2020",288,0.00238953754578758,0,-0.00188676070023724,0.00872198276983432,20.5,21,0,32.5,"yes",41
1,607,"F",141.3,"2020-10-14 05:00:00",2020-10-14,5,10,"2020",288,-0.0239883407608017,0.0381711902463855,-0.0179780370454199,0.0803979847192738,20.5,21,0,32.5,"yes",30
1,331,"M",192,"2020-10-14 05:15:00",2020-10-14,5,10,"2020",288,0.000344582717629577,0,0,0.00507512778020588,20.5,21,0,32.5,"yes",41
1,607,"F",141.3,"2020-10-14 05:15:00",2020-10-14,5,10,"2020",288,0,0,-0.00166336484695859,0.00433551908161287,20.5,21,0,32.5,"yes",30
1,331,"M",192,"2020-10-14 05:30:00",2020-10-14,5,10,"2020",288,0,0,-0.00348756603639416,0.00592897228639416,20.5625,21,0,32.5,"yes",41
1,607,"F",141.3,"2020-10-14 05:30:00",2020-10-14,5,10,"2020",288,0.000495898957813101,0,0,0.00631807157686071,20.5625,21,0,32.5,"yes",30
1,331,"M",192,"2020-10-14 05:45:00",2020-10-14,5,10,"2020",288,-0.0203179075388897,0.0549208727780156,-0.0176843338952714,0.320433661700403,20.5,21,0,32.5,"yes",41
1,607,"F",141.3,"2020-10-14 05:45:00",2020-10-14,5,10,"2020",288,0,0,-0.000607182339719139,0.00661208430050342,20.5,21,0,32.5,"yes",30
1,331,"M",192,"2020-10-14 06:00:00",2020-10-14,6,10,"2020",288,0.246354166666667,-0.384895833333333,-0.0890625,0.7203125,20.5,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 06:00:00",2020-10-14,6,10,"2020",288,0,0.00185691045066047,0,0.00453118929681431,20.5,21,0,31.5,"yes",30
1,331,"M",192,"2020-10-14 06:15:00",2020-10-14,6,10,"2020",288,0.000433664642649018,-0.0044804885869339,0,0.00580463644428489,20.5,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 06:15:00",2020-10-14,6,10,"2020",288,0,-0.00192797111742424,0,0.00370353929924241,20.5,21,0,31.5,"yes",30
1,331,"M",192,"2020-10-14 06:30:00",2020-10-14,6,10,"2020",288,-0.0860946887314075,0.0552916186461108,0.0351690057988887,0.335511786390693,20.5,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 06:30:00",2020-10-14,6,10,"2020",288,0.730220316792582,-0.116490326622163,0.214525180223422,1.1326550944715,20.5,21,0,31.5,"yes",30
1,331,"M",192,"2020-10-14 06:45:00",2020-10-14,6,10,"2020",288,0.00641331595921435,-0.0354665923269439,0.010248394183941,0.0539729205256548,20.5,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 06:45:00",2020-10-14,6,10,"2020",288,-0.0643687258921634,0.0610434378989066,0.0220773855051198,0.272938373475483,20.5,21,0,31.5,"yes",30
1,331,"M",192,"2020-10-14 07:00:00",2020-10-14,7,10,"2020",288,0.00057709759858196,-0.00226389550120018,0,0.00821327923378701,20.5625,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 07:00:00",2020-10-14,7,10,"2020",288,0.00501912367146742,0.00843730921855923,-0.00617341371735902,0.0206064091073857,20.5625,21,0,31.5,"yes",30
1,331,"M",192,"2020-10-14 07:15:00",2020-10-14,7,10,"2020",288,0,-0.00502406393519675,0.00137641492621965,0.0107562576312577,20.5625,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 07:15:00",2020-10-14,7,10,"2020",288,0.00537736460588023,0.0120321085164835,-0.00420788792370824,0.0273527985686189,20.5625,21,0,31.5,"yes",30
1,331,"M",192,"2020-10-14 07:30:00",2020-10-14,7,10,"2020",288,0.0798837284677128,-0.0105583760857198,-0.040221475573038,0.133608064027986,20.5,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 07:30:00",2020-10-14,7,10,"2020",288,0.000294494459533522,-0.00270306949994449,-0.00135243716786684,0.0078414315719003,20.5,21,0,31.5,"yes",30
1,331,"M",192,"2020-10-14 07:45:00",2020-10-14,7,10,"2020",288,0,0,0,0,20.4375,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 07:45:00",2020-10-14,7,10,"2020",288,0,-0.000708566065011393,0,0.00637721924343017,20.4375,21,0,31.5,"yes",30
1,331,"M",192,"2020-10-14 08:00:00",2020-10-14,8,10,"2020",288,0.0175217360764235,-0.0482650650131119,0,0.0675446135895355,20.5,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 08:00:00",2020-10-14,8,10,"2020",288,0,-0.00144247571005382,0,0.00541671327804141,20.5,21,0,31.5,"yes",30
1,331,"M",192,"2020-10-14 08:15:00",2020-10-14,8,10,"2020",288,-0.0146181373964577,0.0112644002048299,0.0140724536964771,0.0409036520120504,20.5,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 08:15:00",2020-10-14,8,10,"2020",288,-0.000593614827013256,0,-0.00137767505931569,0.0071330010050713,20.5,21,0,31.5,"yes",30
1,331,"M",192,"2020-10-14 08:30:00",2020-10-14,8,10,"2020",288,-0.017149495469808,0.0115326866059288,-0.00226389550120018,0.0319226400769369,20.5625,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 08:30:00",2020-10-14,8,10,"2020",288,0,-0.000911458333333337,0,0.000911458333333337,20.5625,21,0,31.5,"yes",30
