"ID","acce.roundNo","turtle.ID","sex","cl","time","date","hour","month","year","julian","x","y","z","ODBA","airTemp","waterTemp","rainfall","roll_sum_24h","heavyRain","acce.netWeight","ID_old","ODBA.scaled","state"
"531-1-3","1","531","F",134,"2020-10-26 03:15:00",2020-10-26,3,10,2020,300,0,0,-0.00243956618468333,0.0055819153719544,-0.951926965342028,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-5.0234294860407,1
"531-1-3","1","531","F",134,"2020-10-26 03:30:00",2020-10-26,3,10,2020,300,0.0017578125,0,0,0.0017578125,-0.951926965342028,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-5.89331748596846,1
"531-1-3","1","531","F",134,"2020-10-26 03:45:00",2020-10-26,3,10,2020,300,0.00273608227709789,0,0,0.00532164775328837,-0.978845923236662,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-5.06377538434802,1
"531-1-3","1","531","F",134,"2020-10-26 04:00:00",2020-10-26,4,10,2020,300,0,0.00135243716786684,0,0.00232899966786684,-0.951926965342028,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-5.7050834201589,1
"531-1-3","1","531","F",134,"2020-10-26 04:15:00",2020-10-26,4,10,2020,300,0,0,0.00153917534288631,0.00553843129526729,-0.978845923236662,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-5.03005800539376,1
"531-1-3","1","531","F",134,"2020-10-26 04:30:00",2020-10-26,4,10,2020,300,0,0,0,0,-0.978845923236662,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-6.90775527898214,1
"531-1-3","1","531","F",134,"2020-10-26 04:45:00",2020-10-26,4,10,2020,300,0,0,0,0,-0.978845923236662,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-6.90775527898214,1
"531-1-3","1","531","F",134,"2020-10-26 05:00:00",2020-10-26,5,10,2020,300,0,0,0,0,-1.0057648811313,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-6.90775527898214,1
"531-1-3","1","531","F",134,"2020-10-26 05:15:00",2020-10-26,5,10,2020,300,0,-0.000911458333333337,0.000911458333333337,0.00182291666666667,-1.0057648811313,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-5.86998464957027,1
"531-1-3","1","531","F",134,"2020-10-26 05:30:00",2020-10-26,5,10,2020,300,0,-0.000833492679195788,0.00135243716786684,0.00693853401372931,-1.14035967060447,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-4.83602665380144,1
"531-1-3","1","531","F",134,"2020-10-26 05:45:00",2020-10-26,5,10,2020,300,0.0012613200601482,0,0,0.00526057601252914,-1.1672786284991,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-5.07348308332222,1
