Date,hour,Rainfall (mm)
20220331,14,0
20220331,15,0
20220331,16,0
20220331,17,0
20220331,18,0
20220331,19,0
20220331,20,0
20220331,21,0
20220331,22,0
20220331,23,0
20220331,24,0
20220401,1,0
20220401,2,0
20220401,3,0
20220401,4,0
20220401,5,0
20220401,6,0.5
20220401,7,0
20220401,8,0
20220401,9,0.5
20220401,10,0
20220401,11,0
20220401,12,0
20220401,13,0
20220401,14,0
20220401,15,0
20220401,16,0
20220401,17,0
20220401,18,0
20220401,19,0
20220401,20,0
20220401,21,0.5
20220401,22,1
20220401,23,0.5
20220401,24,0
20220402,1,0
20220402,2,0
20220402,3,0
20220402,4,0
20220402,5,0
20220402,6,0
20220402,7,0.5
20220402,8,0
20220402,9,0
20220402,10,0
20220402,11,1
20220402,12,0
20220402,13,0
20220402,14,0
20220402,15,0
20220402,16,0.5
20220402,17,0
20220402,18,0.5
20220402,19,0
20220402,20,0
20220402,21,0.5
20220402,22,0
20220402,23,0
20220402,24,0
20220403,1,0
20220403,2,0
20220403,3,0
20220403,4,0
20220403,5,0
20220403,6,0
20220403,7,0
20220403,8,0
20220403,9,0
20220403,10,0
20220403,11,0
20220403,12,0
20220403,13,0
20220403,14,0
20220403,15,0
20220403,16,0
20220403,17,0
20220403,18,0
20220403,19,0
20220403,20,0.0*
20220403,21,0
20220403,22,0.0*
20220403,23,0
20220403,24,0
20220404,1,0
20220404,2,0
20220404,3,0
20220404,4,0
20220404,5,0
20220404,6,0
20220404,7,0
20220404,8,0
20220404,9,0
20220404,10,0
20220404,11,0
20220404,12,0
20220404,13,0
20220404,14,0
20220404,15,0
20220404,16,0
20220404,17,0
20220404,18,0
20220404,19,0
20220404,20,0
20220404,21,0
20220404,22,0
20220404,23,0
20220404,24,0
20220405,1,0
20220405,2,0
20220405,3,0
20220405,4,0
20220405,5,0
20220405,6,0
20220405,7,0
20220405,8,0
20220405,9,0
20220405,10,0
20220405,11,0
20220405,12,0.0*
20220405,13,0
20220405,14,0
20220405,15,0
20220405,16,0
20220405,17,0
20220405,18,0
20220405,19,0
20220405,20,0
20220405,21,0
20220405,22,0
20220405,23,0
20220405,24,0
20220406,1,0
20220406,2,0
20220406,3,0
20220406,4,0
20220406,5,0
20220406,6,0
20220406,7,0
20220406,8,0.0*
20220406,9,0
20220406,10,0
20220406,11,0
20220406,12,0
20220406,13,0
20220406,14,0
20220406,15,0
20220406,16,0
20220406,17,0
20220406,18,0.0*
20220406,19,0.0*
20220406,20,0.0*
20220406,21,0.0*
20220406,22,0
20220406,23,0
20220406,24,0
20220407,1,0
20220407,2,0.0*
20220407,3,0
20220407,4,0.0*
20220407,5,0.0*
20220407,6,0.0*
20220407,7,0.0*
20220407,8,0.0*
20220407,9,0.0*
20220407,10,0.0*
20220407,11,0.0*
20220407,12,0.0*
20220407,13,0.0*
20220407,14,0
20220407,15,0
20220407,16,0
20220407,17,0
20220407,18,0
20220407,19,0
20220407,20,0
20220407,21,0.0*
20220407,22,0.0*
20220407,23,0.0*
20220407,24,0.0*
20220408,1,0.0*
20220408,2,0.0*
20220408,3,0.0*
20220408,4,0
20220408,5,0
20220408,6,0
20220408,7,0.0*
20220408,8,0.0*
20220408,9,0.0*
20220408,10,0.0*
20220408,11,0.0*
20220408,12,0
20220408,13,0
20220408,14,0.0*
20220408,15,0.0*
20220408,16,0
20220408,17,0
20220408,18,0.0*
20220408,19,0
20220408,20,0
20220408,21,0
20220408,22,0.0*
20220408,23,0
20220408,24,0
20220409,1,0.0*
20220409,2,0.0*
20220409,3,0
20220409,4,0.0*
20220409,5,0.0*
20220409,6,0.0*
20220409,7,0.0*
20220409,8,0.0*
20220409,9,0.0*
20220409,10,0.0*
20220409,11,0.0*
20220409,12,0.0*
20220409,13,0
20220409,14,0
20220409,15,0.0*
20220409,16,0.0*
20220409,17,0.0*
20220409,18,0.0*
20220409,19,0.0*
20220409,20,0.0*
20220409,21,0.0*
20220409,22,0.0*
20220409,23,0.0*
20220409,24,0.0*
20220410,1,0.0*
20220410,2,0.0*
20220410,3,0.0*
20220410,4,0.0*
20220410,5,0.0*
20220410,6,0.0*
20220410,7,0.0*
20220410,8,0.0*
20220410,9,0.0*
20220410,10,0.0*
20220410,11,0.0*
20220410,12,0.0*
20220410,13,0.0*
20220410,14,0.0*
20220410,15,0.0*
20220410,16,0.0*
20220410,17,0.0*
20220410,18,0
20220410,19,0.0*
20220410,20,0.0*
20220410,21,0.0*
20220410,22,0.0*
20220410,23,0
20220410,24,0.0*
20220411,1,0.0*
20220411,2,0
20220411,3,0.0*
20220411,4,0.0*
20220411,5,0.0*
20220411,6,0.0*
20220411,7,0.0*
20220411,8,0
20220411,9,0.0*
20220411,10,0
20220411,11,0
20220411,12,0
20220411,13,0
20220411,14,0
20220411,15,0
20220411,16,0
20220411,17,0
20220411,18,0
20220411,19,0
20220411,20,0
20220411,21,0
20220411,22,0.0*
20220411,23,0.0*
20220411,24,0.0*
20220412,1,0
20220412,2,0
20220412,3,0.0*
20220412,4,0.0*
20220412,5,0
